Etappe,Afstand,Stijging,Daling,Teamlid,Tempo,Opmerking
Etappe 1,7.98,263.1,4.0,,4:30,
Etappe 2,7.92,314.7,60.2,,5:0,okkk
Etappe 3,30.23,573.0,356.5,,5:0,
Etappe 4,10.01,6.3,226.2,,,
Etappe 5,18.23,135.2,327.9,,,
Etappe 6,3.37,10.6,56.8,,,
Etappe 7,14.95,130.2,210.3,Daan,,
Etappe 8,13.95,166.9,182.2,Kjartan,,
Etappe 9,23.83,384.0,124.9,,,
Etappe 10,6.7,88.4,40.8,,,
Etappe 11,29.11,180.8,169.9,,,
Etappe 12,15.8,18.4,227.9,,,
Etappe 13,9.07,27.6,129.5,,,
Etappe 14,24.99,47.1,184.8,Elise,,
Etappe 15,17.95,96.7,106.1,Ewald,,
Etappe 16,46.41,206.6,299.6,Axelle,,
Etappe 17,3.0,3.1,5.0,,,
Etappe 18,25.33,84.8,112.5,,,
Etappe 19,16.71,69.2,36.5,,,
Etappe 20,2.48,29.5,6.0,,,
Etappe 21,12.05,212.9,63.2,,,
Etappe 22,12.94,211.5,68.2,,,
Etappe 23,19.95,32.8,235.9,,,
Etappe 24,15.96,234.3,255.0,,,
Etappe 25,17.38,174.0,305.6,,,
Etappe 26,19.84,145.1,266.2,,,
Etappe 27,12.89,38.2,74.5,,,
Etappe 28,7.03,31.2,66.2,,,
Etappe 29,5.9,20.5,19.6,,,
Etappe 30,0.65,0.3,11.8,,,

_GRENZEN,8,16,46.28,56.3,74.56,78,93,107,131,137.71,167,182.82,192,217,235,281.53,284.6,310,327,329.88,342,355,375,391,409,429,441.96,449,454.93
